Altium Designer Pick and Place Locations
D:\Memristor\Electronics\Memristor_AltiumProjects\actuatorcontrol_board_v3.0\HW\Project Outputs ActuatorControl_Board_v30\V1\Pick Place\Pick Place for ActuatorControl_Board_v30.txt

========================================================================================================================
File Design Information:

Date:       05.05.20
Time:       22:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator            Comment                   Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                            
Designator8           Comment                   TopOverlay  SRB_MADE                    0.000         0.000         0        ""                                                                     
J2_MOSFET_LowPower6   282834-2                  TopLayer    CONNECTOR_282834-2          6517.000      1263.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
J2_MOSFET_LowPower5   282834-2                  TopLayer    CONNECTOR_282834-2          7034.000      2502.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
J2_MOSFET_LowPower4   282834-2                  TopLayer    CONNECTOR_282834-2          7132.000      1264.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
J2_MOSFET_LowPower3   282834-2                  TopLayer    CONNECTOR_282834-2          6417.000      1883.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
J2_MOSFET_LowPower2   282834-2                  TopLayer    CONNECTOR_282834-2          7032.000      1884.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
J2_MOSFET_LowPower1   282834-2                  TopLayer    CONNECTOR_282834-2          6417.000      2503.000      270      "Wire-To-Board Terminal Block, 2, 150 V, 10 A, 30 Awg, 16 Awg, 1.4 Mm" 
P3_MOSFET_HighPower1  DRV_B3                    TopLayer    MOTOR_CON                   6544.000      3425.000      360      "CONNECTOR FOR MOTOR OUTPUT"                                           
P3_MOSFET_HighPower2  DRV_B3                    TopLayer    MOTOR_CON                   6950.000      4320.000      270      "CONNECTOR FOR MOTOR OUTPUT"                                           
P3_MOSFET_HighPower3  DRV_B3                    TopLayer    MOTOR_CON                   7912.000      4321.000      270      "CONNECTOR FOR MOTOR OUTPUT"                                           
P3_MOSFET_HighPower4  DRV_B3                    TopLayer    MOTOR_CON                   8870.000      4322.000      270      "CONNECTOR FOR MOTOR OUTPUT"                                           
P3_MOSFET_HighPower5  DRV_B3                    TopLayer    MOTOR_CON                   9825.000      4321.000      270      "CONNECTOR FOR MOTOR OUTPUT"                                           
P3_MOSFET_HighPower6  DRV_B3                    TopLayer    MOTOR_CON                   7833.000      2938.000      90       "CONNECTOR FOR MOTOR OUTPUT"                                           
J_PIN_3               HEADER_1x4                TopLayer    HM1X4                       7516.000      2664.000      90       ""                                                                     
J_PIN_2               HEADER_1x4                TopLayer    HM1X4                       7517.000      1814.000      90       ""                                                                     
J_PIN_1               HEADER_1x4                TopLayer    HM1X4                       7876.000      1605.000      90       ""                                                                     
U4_MOSFET_HighPower6  MIC4416YM4-TR             TopLayer    SOT143-4                    8205.000      3548.500      180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
R14_MOSFET_HighPower6 4.7k                      TopLayer    RESC2013X38N-0805-NOOVERLAY 8385.000      3546.000      360      "RES SMD 4.7 kOhm 1/8W 0805"                                           
R13_MOSFET_HighPower6 100R                      TopLayer    RESC2013X38N-0805-NOOVERLAY 8305.000      3546.000      360      "RES SMD 100 Ohm 1/8W 0805"                                            
Q2_MOSFET_HighPower6  IRF540NSPBF               TopLayer    D2PAK-2                     8282.500      3139.134      180      N-MOS                                                                  
D4_MOSFET_HighPower6  SK34                      BottomLayer DO214AC                     7816.000      3077.000      180      "DIODE SCHOTTKY 40V 3A DO214AC"                                        
C12_MOSFET_HighPower6 100nF                     TopLayer    CER_0805                    7996.000      3450.000      270      "CAP CER 100n 50V X7R 10% 0805"                                        
C11_MOSFET_HighPower6 100uF                     TopLayer    CAP5X11_RADIAL              7933.000      3261.630      90       "CAP ALU 4.7u 25V 20%"                                                 
C24                   100n                      BottomLayer CER_0603                    8110.591      2212.640      180      "CAP CER 100n 10V X5R 10% 0603"                                        
C23                   100n                      BottomLayer CER_0603                    7965.591      2297.640      90       "CAP CER 100n 10V X5R 10% 0603"                                        
Q2_MOSFET_HighPower2  IRF540NSPBF               TopLayer    D2PAK-2                     6495.709      4121.071      360      N-MOS                                                                  
Y1                    8Hz                       TopLayer    ABM10                       8495.000      2320.000      90       "CRYSTAL 8.0000MHZ 18PF SMD"                                           
uC                    ""                        TopLayer    TQFP-64-500um               8080.591      2327.640      270      "IC MCU 32BIT 1MB FLASH 64TQFP"                                        
U7                    MAX485                    BottomLayer SOIC-8                      9245.000      1164.488      270      "IC TXRX RS485/RS422 8-SOIC"                                           
U6                    TS5A23159                 TopLayer    TSSOP10                     8891.984      1148.827      180      "IC SWITCH DUAL SPDT 10MSOP"                                           
U5_MOSFET_LowPower6   MIC4416YM4-TR             TopLayer    SOT143-4                    6675.000      997.000       180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U5_MOSFET_LowPower5   MIC4416YM4-TR             TopLayer    SOT143-4                    7190.000      2237.000      180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U5_MOSFET_LowPower4   MIC4416YM4-TR             TopLayer    SOT143-4                    7290.000      997.000       180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U5_MOSFET_LowPower3   MIC4416YM4-TR             TopLayer    SOT143-4                    6575.000      1617.000      180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U5_MOSFET_LowPower2   MIC4416YM4-TR             TopLayer    SOT143-4                    7190.000      1617.000      180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U5_MOSFET_LowPower1   MIC4416YM4-TR             TopLayer    SOT143-4                    6575.000      2237.000      180      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U4_MOSFET_HighPower5  MIC4416YM4-TR             TopLayer    SOT143-4                    9500.000      3714.500      360      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U4_MOSFET_HighPower4  MIC4416YM4-TR             TopLayer    SOT143-4                    8547.000      3714.500      360      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U4_MOSFET_HighPower3  MIC4416YM4-TR             TopLayer    SOT143-4                    7587.000      3714.500      360      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U4_MOSFET_HighPower2  MIC4416YM4-TR             TopLayer    SOT143-4                    6625.000      3713.500      360      "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U4_MOSFET_HighPower1  MIC4416YM4-TR             TopLayer    SOT143-4                    7151.500      3104.567      90       "IC DRIVER MOSF LOW SIDE SOT143-4"                                     
U3                    LM2937-5                  BottomLayer SOT223                      8550.000      1721.000      270      "IC REG LINEAR 5V 400MA SOT223-4"                                      
U2                    SN65HVD230DR              BottomLayer SOIC-8                      9135.512      1630.000      360      "IC EMC CAN TRANSCEIVER 8-SOIC"                                        
U1                    TPS54340                  TopLayer    HSOP-8                      9200.000      2479.716      270      "IC REG BUCK ADJ 3.5A 8SOPWRPAD"                                       
TXCAN1                "LED GREEN"               TopLayer    LED_GREEN_0805              9060.858      1555.370      360      "LED GREEN CLEAR 0805 SMD"                                             
RESET                 TASTER                    TopLayer    TASTER_SMD                  8475.000      1030.000      270      ""                                                                     
RXCAN1                "LED GREEN"               TopLayer    LED_GREEN_0805              9060.858      1705.370      360      "LED GREEN CLEAR 0805 SMD"                                             
R17_MOSFET_LowPower6  4.7k                      BottomLayer RESC2013X38N-0805-NOOVERLAY 6355.000      997.000       180      "RES SMD 4.7 kOhm 1/8W 0805"                                           
